VIN;Марка;Модель;ГодВыпуска;Пробег;Цена;Цвет;ТипКузова;КПП;ОбъемДвигателя;Дефекты;Салон;Город;ДатаВыгрузки
GVJEHVV37U56KYEXH;BMW;320i;2014;226 552;5953051;Серебристый;Седан;АКПП;2,0;"Люфт рулевой рейки; Царапина на заднем бампере";Мега Авто;Шымкент;10.09.2026 06:00:00
Z5GR1S9VX113XDATN;Kia;K5;2013;224060;3040838;Зелёный;Седан;АКПП;2,5;"Потёртость водительского сиденья; Вмятина на левой передней двери; Помутнение фары";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
9UZ5D5KU21KM0AJ1A;BMW;530i;2010;400592;5484339;Зелёный;Седан;АКПП;2,0;"Царапина на заднем бампере; Помутнение фары; Люфт рулевой рейки; Не работает стеклоподъёмник задней двери";Мега Авто;Шымкент;10.09.2026 06:00:00
F3AMUZHX41KXXB48E;BMW;X3;2006;516 784;3 167 360;Синий;Кроссовер;АКПП;2,0;"Потёртость водительского сиденья; Замена ремня ГРМ по регламенту; Требуется замена тормозных колодок; Царапина на заднем бампере";Kolesa Trade;Алматы;10.09.2026 06:00:00
C4UTJLTA06KCKXDW8;BMW;320i;2011;260603;4148118;Чёрный;Седан;АКПП;2,0;"Требуется замена тормозных колодок; Помутнение фары; Царапина на заднем бампере";Kolesa Trade;Алматы;10.09.2026 06:00:00
2FKUFWF95KX2EW4SD;Toyota;RAV4;2011;290 701;2 101 677;Чёрный;Кроссовер;МКПП;2,0;"Окрашено переднее крыло; Помутнение фары; Не работает стеклоподъёмник задней двери; Люфт рулевой рейки";Актобе Моторс;Актобе;10.09.2026 06:00:00
R3WUDM482Z1X33KW1;Lada;Granta;2006;246 377;8 952 610;Серый;Седан;МКПП;1,6;"Вмятина на левой передней двери; Люфт рулевой рейки; Коррозия на пороге; Окрашено переднее крыло; Требуется регулировка развал-схождения; Требуется замена тормозных колодок; Царапина на заднем бампере";Актобе Моторс;Актобе;10.09.2026 06:00:00
JHLMNMXP5NRJSNZY3;Lada;Granta;2016;118861;4 755 598;Коричневый;Седан;МКПП;1,6;"Окрашено переднее крыло; Люфт рулевой рейки";Мега Авто;Шымкент;10.09.2026 06:00:00
D2UNH6FP8DYSJPEPP;Mercedes-Benz;GLE 350;2016;230 920;6205744;Серебристый;Кроссовер;АКПП;3,0;;Мега Авто;Шымкент;10.09.2026 06:00:00
NSU598LZ54Y67WJHN;Mercedes-Benz;S 500;2013;162 691;1800000;Коричневый;Седан;АКПП;4,7;"Требуется регулировка развал-схождения; Требуется замена тормозных колодок; Окрашено переднее крыло";Автосалон Астана Моторс;Астана;10.09.2026 06:00:00
WF9LKLYC2FCTP3B8V;Kia;K5;2012;178 292;9 472 651;Серый;Седан;Вариатор;2,5;"Потёртость водительского сиденья; Вмятина на левой передней двери; Помутнение фары; Требуется регулировка развал-схождения; Требуется замена тормозных колодок";Актобе Моторс;Актобе;10.09.2026 06:00:00
CH569J8A2479MMJG1;Lada;Granta;2008;209 179;4991201;Красный;Седан;АКПП;1,6;"Замена ремня ГРМ по регламенту; Вмятина на левой передней двери; Коррозия на пороге; Царапина на заднем бампере; Потёртость водительского сиденья";Kolesa Trade;Алматы;10.09.2026 06:00:00
HU0C5P4G6WC5TZF5H;Hyundai;Santa Fe;2005;396 105;1743954;Красный;Кроссовер;Вариатор;2,5;"Потёртость водительского сиденья; Требуется замена тормозных колодок; Замена ремня ГРМ по регламенту; Люфт рулевой рейки; Царапина на заднем бампере";Караван Авто;Караганда;10.09.2026 06:00:00
08NSKA3B7ZAYA1WGP;Mercedes-Benz;E 200;2016;204214;4132454;Зелёный;Седан;АКПП;2,0;"Потёртость водительского сиденья; Люфт рулевой рейки; Вмятина на левой передней двери";Kolesa Trade;Алматы;10.09.2026 06:00:00
RPYY0VP75HZ5SSCX1;BMW;X5;2021;80 648;;Коричневый;Кроссовер;АКПП;4,4;"Не работает стеклоподъёмник задней двери; Царапина на заднем бампере";Мега Авто;Шымкент;10.09.2026 06:00:00
6ERTN4HR3UKEDLWV5;Kia;Sorento;2007;387 225;4953793;Коричневый;Кроссовер;МКПП;3,5;"Скол на лобовом стекле; Вмятина на левой передней двери; Потёртость водительского сиденья; Люфт рулевой рейки; Коррозия на пороге";Актобе Моторс;Актобе;10.09.2026 06:00:00
